moisture,spring_stiffness ,displacement_screw_setting,motor_speed,untouched,longitudinal less than 25%,Longitudinal between 25-50%,Longitudinal between 50-75%,Longitudinal more than 75%,Circumferential less than 25%,Circumferential between 25-50%,Circumferential between 50-75%,Circumferential more than 75%,Open Crack,Crushed
7,2000,0.22,60,,,,,"GH013088, GH013089, GH013090, GH013091, GH013092, GH013093",,,,"GH013088, GH013089, GH013090, GH013091, GH013092, GH013093","GH013088, GH013089, GH013090, GH013091, GH013092, GH013093",GH013088
7,2000,0.22,30,,,,,"GH013094, GH013095, GH013096, GH013097, GH013098, GH013099",,,"GH013098, GH013099","GH013094, GH013095, GH013096, GH013097","GH013094, GH013095, GH013096, GH013097, GH013098, GH013099",
7,2000,0.36,45,GH013103,,,,"GH013100, GH013101, GH013102, GH013104, GH013105","GH013100, GH013101, GH013102","GH013104, GH013105",,,GH013104,
7,2000,0.29,45,,,,GH013110,"GH013106, GH013107, GH013108, GH013109, GH013111",GH013106,GH013110,GH013108,"GH013107, GH013109, GH013111","GH013107, GH013108, GH013109, GH013110, GH013111",
7,2000,0.36,30,,GH013116,,"GH013112, GH013114, GH013115, GH013117",GH013113,"GH013112, GH013114, GH013115, GH013116, GH013117",GH013113,,,GH013113,
7,2000,0.29,60,,,,,"GH013118, GH013119, GH013120, GH013121, GH013122, GH013123",,"GH013118, GH013119, GH013122","GH013120, GH013121, GH013123",,"GH013118, GH013119, GH013120, GH013121, GH013122, GH013123",
7,2000,0.29,30,,,,GH013128,"GH013124, GH013125, GH013126, GH013127, GH013129",,"GH013124, GH013125, GH013128","GH013126, GH013127, GH013129",,"GH013124, GH013125, GH013126, GH013127, GH013129",
7,2200,0.36,45,,*GH013975,,"*GH013973, *GH013976","*GH013971, *GH013972, *GH013974",*GH013973,"*GH013974, *GH013976",*GH013975,"*GH013971, *GH013972","*GH013971, *GH013972, *GH013976",*GH013972
7,2200,0.22,30,,,,,"*GH013977, *GH013978, *GH013979, *GH013980, *GH013981, *GH013982",,,*GH013981,"*GH013977, *GH013978, *GH013979, *GH013980, *GH013981, *GH013982","*GH013977, *GH013978, *GH013979, *GH013980, *GH013981, *GH013982","*GH013977, *GH013980"
7,2200,0.36,30,,,*GH013988,"*GH013983, *GH013986","*GH013984, *GH013985, *GH013987","*GH013983, *GH013986, *GH013987, *GH013988",*GH013985,*GH013984,,"*GH013984, *GH013985, *GH013987",
7,2200,0.29,30,,,,,"*GH013989, *GH013990, *GH013991, *GH013992, *GH013993",,*GH013989,*GH013991,"*GH013990, *GH013992, *GH013993","*GH013989, *GH013990, *GH013991, *GH013992, *GH013993",
7,2200,0.22,45,,,,,"*GH013994, *GH013995, *GH013996, *GH013997, *GH013998, *GH013999",,*GH013995,,"*GH013994, *GH013996, *GH013997, *GH013998, *GH013999","*GH013994, *GH013995, *GH013996, *GH013997, *GH013998, *GH013999",*GH013997
7,2200,0.36,60,*GH014001,,,*GH014003,"*GH014000, *GH014002, *GH014004, *GH014005",*GH014005,"*GH014002, *GH014003, *GH014004",,*GH014000,"*GH014000, *GH014004",
7,2200,0.29,60,,,,,"*GH014007, *GH014007, *GH014008, *GH014009, *GH014010, *GH014011",,,"*GH014006, *GH014008, *GH014009, *GH014010","*GH014007, *GH014011","*GH014006, *GH014007, *GH014008, *GH014009, *GH014010, *GH014011",
7,2200,0.22,60,,,,,"*GH014012, *GH014013, *GH014014, *GH014015, *GH014016, *GH014017",,,*GH014013,"*GH014012, *GH014014, *GH014015, *GH014016, *GH014017","*GH014012, *GH014013, *GH014014, *GH014015, *GH014016, *GH014017",
7,2200,0.29,45,,,,*GH014021,"*GH014018, *GH014019, *GH014020, *GH014022",,*GH014021,"*GH014019, *GH014020","*GH014018, *GH014022","*GH014018, *GH014019, *GH014020, *GH014021, *GH014022",*GH014018
7,2200,0.36,30,,,*GH014028,*GH014024,"*GH014023, *GH014025, *GH014026, *GH014027","*GH014024, *GH014027, *GH014028","*GH014025, *GH014026",*GH014023,,"*GH014023, *GH014026",
7,2200,0.22,60,,,,,"*GH014029, *GH014030, *GH014031, *GH014032, *GH014033, *GH014034",,,*GH014032,"*GH014029, *GH014030, *GH014031, *GH014033, *GH014034","*GH014029, *GH014030, *GH014031, *GH014032, *GH014033, *GH014034",
7,2200,0.36,60,,,,*GH014038,"*GH014035, *GH014036, *GH014037, *GH014039, *GH014040","*GH014035, *GH014038","*GH014037, *GH014039, *GH014040",,*GH014036,"*GH014036, *GH014037, *GH014039, *GH014040",*GH014036
7,2200,0.36,45,*GH014043,,,,"*GH014041, *GH014042, *GH014044, *GH014045, *GH014046","*GH014042, *GH014044",*GH014046,"*GH014041, *GH014045",,"*GH014041, *GH014045, *GH014046",
7,2200,0.22,45,,,,,"*GH014047, *GH014048, *GH014050, *GH014051",,,"*GH014048, *GH014049","*GH014047, *GH014050, *GH014051","*GH014047, *GH014048, *GH014049, *GH014050, *GH014051",
7,2200,0.29,30,,,,,"*GH014052, *GH014053, *GH014054, *GH014055, *GH014056, *GH014057",,"*GH014052, *GH014054, *GH014056",*GH014057,"*GH014053, *GH014055","*GH014052, *GH014053, *GH014054, *GH014055, *GH014056, *GH014057",
7,2200,0.22,30,,,,,"*GH014058, *GH014059, *GH014060, *GH014061, *GH014062, *GH014063",,,*GH014062,"*GH014058, *GH014059, *GH014060, *GH014061, *GH014063","*GH014058, *GH014059, *GH014060, *GH014061, *GH014062, *GH014063",*GH014058
7,2200,0.29,45,,,,,"*GH014064, *GH014065, *GH014066, *GH014067, *GH014068, *GH014069",,"*GH014064, *GH014065","*GH014067, *GH014068, *GH014069",*GH014066,"*GH014064, *GH014065, *GH014066, *GH014068, *GH014069",
7,2200,0.29,60,,,,,"*GH014070, *GH014071, *GH014072, *GH014073, *GH014074, *GH014075",,*GH014070,"*GH014071, *GH014072, *GH014073","*GH014074, *GH014075","*GH014070, *GH014071, *GH014072, *GH014073, *GH014074, *GH014075",*GH014075
7,2200,0.22,45,,,,,"*GH014076, *GH014077, *GH014078, *GH014079, *GH014080, *GH014081",,,*GH014078,"*GH014076, *GH014077, *GH014079, *GH014080, *GH014081","*GH014076, *GH014077, *GH014078, *GH014079, *GH014080, *GH014081",
7,2200,0.36,60,"*GH014083, *GH014084",,,*GH014087,"*GH014082, *GH014085, *GH014086","*GH014082, *GH014085, *GH014087",*GH014086,,,*GH014086,
7,2200,0.22,60,,,,,"*GH014088, *GH014089, *GH014090, *GH014091, *GH014092, *GH014093",,,*GH014093,"*GH014088, *GH014089, *GH014090, *GH014091, *GH014092","*GH014088, *GH014089, *GH014090, *GH014091, *GH014092, *GH014093",
7,2200,0.22,30,,,,,"*GH014094, *GH014095, *GH014096, *GH014097, *GH014098, *GH014099",,,"*GH014094, *GH014098","*GH014095, *GH014096, *GH014097, *GH014099","*GH014094, *GH014095, *GH014096, *GH014097, *GH014098, *GH014099",
7,2200,0.36,45,,,,"*GH014101, *GH014103","*GH014100, *GH014102, *GH014104, *GH014105","*GH014100, *GH014101, *GH014105","*GH014102, *GH014104",*GH014103,,"*GH014103, *GH014104",
7,2200,0.29,45,,,,,"*GH014106, *GH014107, *GH014108, *GH014109, *GH014110, *GH014111",,,"*GH014107, *GH014108, *GH014109, *GH014110, *GH014111",*GH014106,"*GH014106, *GH014107, *GH014108, *GH014110, *GH014111",*GH014106
7,2200,0.36,30,,,,,"*GH014112, *GH014113, *GH014114, *GH014115, *GH014116, *GH014117",*GH014112,"*GH014113, *GH014115, *GH014116",,"*GH014114, *GH014117","*GH014113, *GH014114, *GH014116, *GH014117","*GH014114, *GH014117"
7,2200,0.29,60,,,,,"*GH014118, *GH014119, *GH014120, *GH014121, *GH014122, *GH014123",,"*GH014122, *GH014123","*GH014119, *GH014121","*GH014118, *GH014120","*GH014118, *GH014120, *GH014121, *GH014122, *GH014123",
7,2200,0.29,30,,,,,"*GH014124, *GH014125, *GH014125, *GH014126, *GH014127, *GH014128, *GH014129",*GH014124,"*GH014125, *GH014125, *GH014126, *GH014128",*GH014127,*GH014129,"*GH014124, *GH014125, *GH014126, *GH014127, *GH014128, *GH014129",
9,1800,0.29,60,,,,GH013648,"GH013644, GH013645, GH013646, GH013647, GH013649",,"GH013647, GH013648, GH013649","GH013644, GH013645, GH013646",,"GH013644, GH013645, GH013646, GH013647, GH013649",
9,1800,0.22,45,,,,GH013655,"GH013650, GH013651, GH013653, GH013654, GH013656",,,"GH013653, GH013654","GH013650, GH013651, GH013655, GH01366","GH013650, GH013651, GH013653, GH013654, GH013655, GH013656",GH013655
9,1800,0.36,30,GH013660,,,"GH013657, GH013658, GH013661",GH013659,"GH013657, GH013658, GH013661",GH013659,,,,
9,1800,0.36,60,"GH013663, GH013664, GH013665, GH013666",,,,*GH013662,,,,*GH013662,*GH013662,*GH013662
9,1800,0.22,30,,,GH013668,,"GH013667, GH013669, GH013670, GH013671, GH013672","GH013667, GH013668, GH013670","GH013669, GH013671, GH013672",,,"GH013667, GH013669, GH013671, GH013672",
9,1800,0.29,45,"GH013675, GH013676, GH013677",,GH013678,,"GH013673, GH013674","GH013673, GH013674, GH013678",,,,,
9,1800,0.29,30,GH013683,,GH013679,"GH013682, GH013684","GH013680, GH013681","GH013679, GH013682, GH013684",GH013680,,GH013681,"GH013680, GH013681",
9,1800,0.36,45,"GH013685, GH013688, GH013689, GH013690",,,,"GH013686, GH013687",GH013686,,,GH013687,GH013687,GH013687
9,1800,0.22,60,GH013693,,,"GH013692, GH013694, GH013695","GH013691, GH013696",GH013692,"GH013694, GH013695, GH013696",GH013691,,"GH013691, GH013694, GH013695, GH013696",
9,1800,0.22,30,,,,"GH013698, GH013700","GH013697, GH013699, GH013701, GH013702","GH013700, GH013701, GH013702","GH013698, GH013699",,GH013697,"GH013697, GH013698, GH013699",GH013697
9,1800,0.29,60,"GH013706, GH013708",GH013707,,,"GH013703, GH013704, GH013705","GH013704, GH013707",GH013705,,GH013703,"GH013703, GH013704, GH013705",GH013703
9,1800,0.29,45,"GH013710, GH013711",GH013714,,GH013712,"GH013709, GH013713","GH013709, GH013712, GH013714",,GH013713,,GH013713,
9,1800,0.36,45,"GH013719, GH013720",GH013715,,GH013718,"GH013716, GH013717","GH013715, GH013716, GH013717",GH013718,,,GH013718,
9,1800,0.29,30,"GH013721, GH013724, GH013726",,,GH013722,"GH013723, GH013725","GH013723, GH013725",GH013722,,,GH013722,
9,1800,0.22,45,"GH013727, GH013732",,GH013731,,"GH013728, GH013729, GH013730",,GH013730,"GH013728, GH013729",GH013731,"GH013728, GH013729",
9,1800,0.36,30,"GH013734, GH013735, GH013737",,,GH013736,"GH013733, GH013738",GH013733,GH013736,GH013738,,GH013738,
9,1800,0.22,60,GH013744,,,GH013743,"GH013739, GH013740, GH013741, GH013742",,"GH013742, GH013743","GH013739, GH013740, GH013741",,"GH013739, GH013740, GH013742",
9,1800,0.36,60,"*GH013747, *GH013749",,,,"*GH013746, *GH013748","*GH013746, *GH013748",,,,,
9,1800,0.22,60,,,,,"*GH013750, *GH013751, *GH013752, *GH013753, *GH013754, *GH013755","*GH013751, *GH013752",*GH013750,"*GH013753, *GH013754, *GH013755",,"*GH013750, *GH013752, *GH013753, *GH013754, *GH013755",
9,1800,0.36,45,"*GH013757, *GH013758",,,*GH013760,"*GH013756, *GH013759, *GH013761","*GH013759, *GH013760",*GH013756,,*GH013761,*GH013761,*GH013761
9,1800,0.29,45,"*GH013762, *GH013764, *GH013766",,*GH013767,,"*GH013763, *GH013765","*GH013763, *GH013765, *GH013767",,,,,
9,1800,0.29,30,"*GH013770, *GH013773",,,*GH013768,"*GH013769, *GH013771, *GH013772","*GH013768, *GH013769, *GH013772",,,*GH013771,*GH013771,*GH013771
9,1800,0.36,60,"*GH013786, *GH013787, *GH013790",,,,"*GH013788, *GH013789, *GH013791",*GH013791,*GH013789,,*GH013788,*GH013788,*GH013788
9,1800,0.22,30,,,,*GH013781,"*GH013780, *GH013782, *GH013783, *GH013784, *GH013785","*GH013781, *GH013785",*GH013783,*GH013780,"*GH013782, *GH013784","*GH013780, *GH013782, *GH013783, *GH013784",
9,1800,0.29,60,*GH013792,,,"*GH013793, *GH013795, *GH013797","*GH013794, *GH013796","*GH013793, *GH013794, *GH013795, *GH013796, *GH013797",,,,,
9,1800,0.22,45,"*GH013798, *GH013799, *GH013803",,,,"*GH013800, *GH013801, *GH013802","*GH013800, *GH013801",,,*GH013802,*GH013802,*GH013802
9,1800,0.36,45,*GH013807,,,*GH013808,"*GH013804, *GH013805, *GH013806, *GH013809","*GH013808, *GH013809",,,"*GH013804, *GH013805, *GH013806","*GH013804, *GH013805, *GH013806",*GH013804
9,2000,0.29,60,,,,*GH013189,"GH013185, *GH013186, *GH013187, *GH013188, *GH013190","*GH013188, *GH013190","*GH013187, *GH013189",GH013185,*GH013186,"GH013185, *GH013186, *GH013187, *GH013188, *GH013189",
9,2000,0.22,45,,,,GH013153,"GH013148, GH013149, GH013150, GH013151, GH013152",,GH013151,"GH013148, GH013149, GH013152","GH013150, GH013153","GH013148, GH013149, GH013150, GH013152, GH013153",
9,2000,0.36,30,"*GH013193, *GH013196",,,"*GH013191, *GH013194","*GH013192, *GH013195","*GH013191, *GH013194",,*GH013192,,*GH013192,
9,2000,0.36,60,*GH013198,,,*GH013199,"*GH013197, *GH013200, GH013201, *GH013202",GH013201,"*GH013200, *GH013202",,"*GH013197, *GH013199","*GH013199, *GH013200, *GH013202",*GH013197
9,2000,0.22,30,,GH013170,,,"GH013167, GH013168, GH013169, GH013171, GH013172",,,"GH013167, GH013170, GH013171, GH013172","GH013168, GH013169","GH013167, GH013168, GH013169, GH013171, GH013172",
9,2000,0.29,45,,,,*GH013206,"*GH013203, *GH013204, *GH013205, *GH013207, *GH013208",*GH013206,"*GH013204, *GH013205, *GH013207",*GH013203,*GH013208,"*GH013203, *GH013204, *GH013205, *GH013206, *GH013207, *GH013208",
9,2000,0.29,30,,,,,"*GH013209, *GH013210, *GH013211, *GH013212, *GH013213, *GH013214",*GH013210,*GH013214,"*GH013209, *GH013211, *GH013212, *GH013213",,"*GH013209, *GH013211, *GH013212, *GH013213",
9,2000,0.36,45,"*GH013217, *GH013220",,,*GH013218,"*GH013215, *GH013216, *GH013219","*GH013218, *GH013219",*GH013216,,*GH013215,*GH013215,
9,2000,0.22,60,,,,,"GH013130, GH013131, GH013132, GH013133, GH013134, GH013135",,,"GH013131, GH013132, GH013133","GH013130, GH013134, GH013135","GH013130, GH013131, GH013132, GH013133, GH013134, GH013135",
9,2000,0.22,30,,,,,"GH013173, GH013174, , GH013175, GH013176, GH013177, GH013178",,,"GH013173, GH013174, GH013175, GH013177, GH013178",GH013176,"GH013174, GH013175, GH013176, GH013177, GH013178",
9,2000,0.29,60,,,,,"*GH013221, *GH013222, *GH013223, *GH013224, *GH013225, *GH013226",,,"*GH013221, *GH013222, *GH013223, *GH013224, *GH013225, *GH013226",,"*GH013221, *GH013222, *GH013223, *GH013224, *GH013225, *GH013226",
9,2000,0.29,45,,,,GH013227,"GH013228, GH013229, GH013230, GH013231, GH013232",GH013227,"GH013228, GH013229, GH013231, GH013232",GH013230,,"GH013228, GH013229, GH013230, GH013231, GH013232",
9,2000,0.36,45,"GH013235, GH013237",,,GH013238,"GH013233, GH013234, GH013236","GH013236, GH013238",,"GH013233, GH013234",,GH013234,
9,2000,0.29,30,,,,GH013243,"GH013239, GH013240, GH013241, GH013242, GH013244",GH013243,GH013239,"GH013242, GH013244","GH013240, GH013241","GH013239, GH013240, GH013241, GH013242, GH013244",
9,2000,0.22,45,,,,,"*GH013154, *GH013155, GH013156, GH013157, GH013158, GH013159",,,"*GH013155, GH013157, GH013159","*GH013154, GH013156, GH013158","*GH013154, *GH013155, GH013156, GH013157, GH013158, GH013159",
9,2000,0.36,30,GH013250,,,GH013248,"GH013245, GH013246, GH013247, GH013249","GH013246, GH013247, GH013248, GH013249",,,GH013245,"GH013245, GH013249",
9,2000,0.22,60,,,,,"GH013136, GH013137, GH013138, GH013139, GH013140, GH013141",,,"GH013136, GH013137, GH013139","GH013138, GH013140, GH013141","GH013136, GH013137, GH013138, GH013139, GH013140, GH013141",
9,2000,0.36,60,GH013251,,,"GH013252, GH013255","GH013253, GH013254, GH013256","GH013252, GH013253, GH013254, GH013255, GH013256",,,,,
9,2000,0.22,60,GH013147,,,,"GH013142, GH013143, GH013144, GH013145, GH013146",,GH013144,"GH013142, GH013143, GH013146",GH013145,"GH013142, GH013143, GH013145, GH013146",
9,2000,0.36,45,GH013260,,,"GH013257, GH013258, GH013261","GH013259, GH013262","GH013257, GH013258, GH013259, GH013261, GH013262",,,,,
9,2000,0.29,45,,,,GH013266,"GH013263, GH013264, GH013265, GH013267, GH013268",GH013266,"GH013264, GH013267","GH013263, GH013265",GH013268,"GH013263, GH013264, GH013265, GH013266, GH013267, GH013268",
9,2000,0.29,30,,GH013269,GH013270,"GH013271, GH013272, GH013273",GH013274,GH013269,"GH013270, GH013273","GH013271, GH013272, GH013274",,"GH013271, GH013272, GH013273, GH013274",
9,2000,0.36,60,GH013276,,,"GH013275, GH013278","GH013277, GH013279, GH013280","GH013275, GH013277, GH013280",GH013278,GH013279,,GH013279,
9,2000,0.22,30,,,,,"GH013179, GH013180, GH013181, GH013182, GH013183, GH013184",,"GH013179, GH013180",GH013184,"GH013181, GH013182, GH013183","GH013181, GH013182, GH013183, GH013184",
9,2000,0.29,60,GH013284,,,GH013285,"GH013281, GH013282, GH013283, GH013286",,"GH013283, GH013285","GH013281, GH013282, GH013286",,"GH013281, GH013282, GH013283, GH013285, GH013286",
9,2000,0.22,45,,,GH013162,,"GH013160, GH013161, GH013163, GH013164, GH013165",,,"GH013160, GH013163","GH013161, GH013162, GH013164, GH013165","GH013160, GH013161, GH013163, GH013164, GH013165",
9,2000,0.36,45,"GH013287, GH013288, GH013289, GH013292",,,,"GH013290, GH013291",GH013291,GH013290,,,GH013290,
9,2200,0.29,60,,,,*GH014297,"*GH014298, *GH014299, *GH014300, *GH014301, *GH014302",*GH014297,*GH014302,"*GH014300, *GH014301","*GH014298, *GH014299","*GH014297, *GH014298, *GH014299, *GH014300, *GH014301, *GH014302",
9,2200,0.22,45,,,,,"*GH014304, *GH014305, *GH014306, *GH014307, *GH014308, *GH014309",,,"*GH014304, *GH014305","*GH014306, *GH014307, *GH014308, *GH014309","*GH014304, *GH014305, *GH014306, *GH014307, *GH014308, *GH014309",*GH014308
9,2200,0.36,30,,,,"*GH014314, *GH014315","*GH014310, *GH014311, *GH014312, *GH014313",*GH014314,"*GH014310, *GH014311, *GH014313, *GH014315",,*GH014312,"*GH014310, *GH014311, *GH014312, *GH014313, *GH014315",*GH014312
9,2200,0.36,60,*GH014321,,,*GH014316,"*GH014317, *GH014318, *GH014319, *GH014320",*GH014317,"*GH014316, *GH014318","*GH014319, *GH014320",,"*GH014318, *GH014319",
9,2200,0.22,30,,,,,"*GH014322, *GH014323, *GH014324, *GH014325, *GH014326, *GH014327",,,*GH014322,"*GH014323, *GH014324, *GH014325, *GH014326, *GH014327","*GH014322, *GH014323, *GH014324, *GH014325, *GH014326, *GH014327",
9,2200,0.29,45,,,,"*GH014329, *GH014331","*GH014328, *GH014330, *GH014332, *GH014333",*GH014329,"*GH014331, *GH014332","*GH014328, *GH014330, *GH014333",,"*GH014328, *GH014330, *GH014331, *GH014332, *GH014333",
9,2200,0.29,30,,,,,"*GH014334, *GH014335, *GH014336, *GH014337, *GH014339, *GH014340",,*GH014340,"*GH014334, *GH014336","*GH014335, *GH014337, *GH014339","*GH014334, *GH014335, *GH014336, *GH014337, *GH014339, *GH014340",
9,2200,0.36,45,,,,"*GH014341, *GH014344, *GH014345","*GH014342, *GH014343, *GH014346","*GH014341, *GH014344, *GH014345",,*GH014343,"*GH014342, *GH014346","*GH014342, *GH014343, *GH014346",
9,2200,0.22,60,,,,,"*GH014347, *GH014348, *GH014349, *GH014350, *GH014351, *GH014352",,,"*GH014349, *GH014350","*GH014347, *GH014348, *GH014351, *GH014352","*GH014347, *GH014348, *GH014349, *GH014350, *GH014351, *GH014352",
9,2200,0.22,30,,,,,"*GH014353, *GH014354, *GH014355, *GH014356, *GH014357, *GH014358",,*GH014358,*GH014353,"*GH014354, *GH014355, *GH014356, *GH014357","*GH014353, *GH014354, *GH014355, *GH014356, *GH014357, *GH014358",
9,2200,0.29,60,,,,,"*GH014359, *GH014360, *GH014361, *GH014362, *GH014363, *GH014364",,"*GH014361, *GH014363","*GH014360, *GH014362, *GH014364",*GH014359,"*GH014359, *GH014360, *GH014361, *GH014362, *GH014363, *GH014364",
9,2200,0.29,45,,,,,"*GH014365, *GH014366, *GH014367, *GH014368, *GH014370",,"*GH014368, *GH014370","*GH014365, *GH014366, *GH014367",,"*GH014365, *GH014366, *GH014367, *GH014368, *GH014370",*GH014369
9,2200,0.36,45,"*GH014374, *GH014375",,,*GH014372,"*GH014371, *GH014373","*GH014371, *GH014372, *GH014373, *GH014376",,,,,
9,2200,0.29,30,,,,,"*GH014377, *GH014378, *GH014379, *GH014380, *GH014381, *GH014382",,,"*GH014379, *GH014380, *GH014381, *GH014382","*GH014377, *GH014378","*GH014377, *GH014378, *GH014379, *GH014380, *GH014381, *GH014382",
9,2200,0.22,45,,,,,"*GH014383, *GH014384, *GH014385, *GH014386, *GH014387, *GH014388",,,,"*GH014383, *GH014384, *GH014385, *GH014386, *GH014387, *GH014388","*GH014383, *GH014384, *GH014385, *GH014386, *GH014387, *GH014388",*GH014385
9,2200,0.36,30,,,,"*GH014391, *GH014392, *GH014393","*GH014389, *GH014390, *GH014394","*GH014392, *GH014393","*GH014389, *GH014390, *GH014391",,,"*GH014390, *GH014394",*GH014394
9,2200,0.22,60,,,,,"*GH014395, *GH014396, *GH014397, *GH014398, *GH014399, *GH014400",,,*GH014395,"*GH014396, *GH014397, *GH014398, *GH014399, *GH014400","*GH014395, *GH014396, *GH014397, *GH014398, *GH014399, *GH014400",*GH014397
9,2200,0.36,60,,,,,"*GH014401, *GH014402, *GH014403, *GH014404, *GH014405, *GH014406",*GH014403,"*GH014401, *GH014404, *GH014405, *GH014406",,*GH014402,"*GH014402, *GH014404, *GH014405",
9,2200,0.22,60,,,,,"*GH014407, *GH014408, *GH014409, *GH014410, *GH014411, *GH014412",,,,"*GH014407, *GH014408, *GH014409, *GH014410, *GH014411, *GH014412","*GH014407, *GH014408, *GH014409, *GH014410, *GH014411, *GH014412",
9,2200,0.36,45,"*GH014413, *GH014415, *GH014416, *GH014417, *GH014418",,,,*GH014414,*GH014414,,,,,
9,2200,0.29,45,"*GH014419, *GH014420, *GH014423",,*GH014421,*GH014422,*GH014424,*GH014421,,,"*GH014422, *GH014424","*GH014422, *GH014424","*GH014422, *GH014424"
9,2200,0.29,30,"*GH014425, *GH014427, *GH014428, *GH014430",,,,"*GH014426, *GH014429",*GH014429,,,*GH014426,*GH014426,*GH014426
9,2200,0.36,60,*GH014435,,,*GH014431,"*GH014432, *GH014433, *GH014434, *GH014436","*GH014431, *GH014433, *GH014436",,"*GH014432, *GH014434",,*GH014432,*GH014432
9,2200,0.22,30,,*GH014437,,,"*GH014438, *GH014439, *GH014440, *GH014441, *GH014442",*GH014437,,"*GH014440, *GH014441, *GH014442",*GH014438,"*GH014437, *GH014438, *GH014439, *GH014440, *GH014441, *GH014442",
9,2200,0.29,60,,,,,"*GH014443, *GH014444, *GH014445, *GH014446, *GH014447, *GH014448",,"*GH014443, *GH014445","*GH014446, *GH014447, *GH014448",*GH014444,"*GH014443, *GH014444, *GH014445, *GH014446, *GH014447, *GH014448",
9,2200,0.22,45,,,,,"*GH014450, *GH014451, *GH014452, *GH014453, *GH014454, *GH014455",,,*GH014451,"*GH014450, *GH014452, *GH014453, *GH014454, *GH014455","*GH014450, *GH014451, *GH014452, *GH014453, *GH014454, *GH014455",
9,2200,0.36,45,*GH014460,,,*GH014457,"*GH014456, *GH014458, *GH014459, *GH014461","*GH014457, *GH014458, *GH014461",,,"*GH014456, *GH014459","*GH014456, *GH014459",*GH014459
