moisture,spring_stiffness,displacement_screw_setting,motor_speed,video_id,crack_type
5,1800,0.36,30,*GH013827,longitudinal_more_than_75%
5,1800,0.36,30,*GH013823,circumferential_less_than_25%
5,1800,0.36,30,*GH013826,circumferential_less_than_25%
5,1800,0.36,30,*GH013824,circumferential_between_50_75%
5,1800,0.36,30,*GH013827,circumferential_between_50_75%
5,1800,0.36,30,*GH013825,circumferential_more_than_75%
5,1800,0.36,30,*GH013823,open_crack
5,1800,0.36,30,*GH013824,open_crack
5,1800,0.36,30,*GH013825,open_crack
5,1800,0.36,30,*GH013827,open_crack
5,1800,0.36,60,*GH013832,untouched
5,1800,0.36,60,*GH013828,longitudinal_more_than_75%
5,1800,0.36,60,*GH013829,longitudinal_more_than_75%
5,1800,0.36,60,*GH013830,longitudinal_more_than_75%
5,1800,0.36,60,*GH013831,longitudinal_more_than_75%
5,1800,0.36,60,*GH013833,longitudinal_more_than_75%
5,1800,0.36,60,*GH013829,circumferential_less_than_25%
5,1800,0.36,60,*GH013830,circumferential_between_25_50%
5,1800,0.36,60,*GH013833,circumferential_between_25_50%
5,1800,0.36,60,*GH013828,circumferential_between_50_75%
5,1800,0.36,60,*GH013831,circumferential_more_than_75%
5,1800,0.36,60,*GH013828,open_crack
5,1800,0.36,60,*GH013830,open_crack
5,1800,0.36,60,*GH013831,open_crack
5,1800,0.36,60,*GH013833,open_crack
5,1800,0.22,30,*GH013834,longitudinal_more_than_75%
5,1800,0.22,30,*GH013835,longitudinal_more_than_75%
5,1800,0.22,30,*GH013836,longitudinal_more_than_75%
5,1800,0.22,30,*GH013837,longitudinal_more_than_75%
5,1800,0.22,30,*GH013838,longitudinal_more_than_75%
5,1800,0.22,30,*GH013839,longitudinal_more_than_75%
5,1800,0.22,30,*GH013836,circumferential_between_50_75%
5,1800,0.22,30,*GH013834,circumferential_more_than_75%
5,1800,0.22,30,*GH013835,circumferential_more_than_75%
5,1800,0.22,30,*GH013837,circumferential_more_than_75%
5,1800,0.22,30,*GH013838,circumferential_more_than_75%
5,1800,0.22,30,*GH013839,circumferential_more_than_75%
5,1800,0.22,30,*GH013834,open_crack
5,1800,0.22,30,*GH013835,open_crack
5,1800,0.22,30,*GH013836,open_crack
5,1800,0.22,30,*GH013837,open_crack
5,1800,0.22,30,*GH013838,open_crack
5,1800,0.22,30,*GH013839,open_crack
5,1800,0.29,45,*GH013840,longitudinal_more_than_75%
5,1800,0.29,45,*GH013841,longitudinal_more_than_75%
5,1800,0.29,45,*GH013842,longitudinal_more_than_75%
5,1800,0.29,45,*GH013843,longitudinal_more_than_75%
5,1800,0.29,45,*GH013844,longitudinal_more_than_75%
5,1800,0.29,45,*GH013843,circumferential_between_25_50%
5,1800,0.29,45,*GH013844,circumferential_between_50_75%
5,1800,0.29,45,*GH013840,circumferential_more_than_75%
5,1800,0.29,45,*GH013841,circumferential_more_than_75%
5,1800,0.29,45,*GH013842,circumferential_more_than_75%
5,1800,0.29,45,*GH013844,circumferential_more_than_75%
5,1800,0.29,45,*GH013840,open_crack
5,1800,0.29,45,*GH013841,open_crack
5,1800,0.29,45,*GH013842,open_crack
5,1800,0.29,45,*GH013844,open_crack
5,1800,0.29,45,*GH013842,crushed
5,1800,0.29,30,*GH013848,longitudinal_between_50_75%
5,1800,0.29,30,*GH013845,longitudinal_more_than_75%
5,1800,0.29,30,*GH013846,longitudinal_more_than_75%
5,1800,0.29,30,*GH013847,longitudinal_more_than_75%
5,1800,0.29,30,*GH013849,longitudinal_more_than_75%
5,1800,0.29,30,*GH013850,longitudinal_more_than_75%
5,1800,0.29,30,*GH013848,circumferential_between_25_50%
5,1800,0.29,30,*GH013845,circumferential_between_50_75%
5,1800,0.29,30,*GH013847,circumferential_between_50_75%
5,1800,0.29,30,*GH013849,circumferential_between_50_75%
5,1800,0.29,30,*GH013846,circumferential_more_than_75%
5,1800,0.29,30,*GH013850,circumferential_more_than_75%
5,1800,0.29,30,*GH013845,open_crack
5,1800,0.29,30,*GH013846,open_crack
5,1800,0.29,30,*GH013847,open_crack
5,1800,0.29,30,*GH013849,open_crack
5,1800,0.29,30,*GH013850,open_crack
5,1800,0.36,45,*GH013851,longitudinal_between_50_75%
5,1800,0.36,45,*GH013855,longitudinal_between_50_75%
5,1800,0.36,45,*GH013852,longitudinal_more_than_75%
5,1800,0.36,45,*GH013853,longitudinal_more_than_75%
5,1800,0.36,45,*GH013854,longitudinal_more_than_75%
5,1800,0.36,45,*GH013856,longitudinal_more_than_75%
5,1800,0.36,45,*GH013851,circumferential_less_than_25%
5,1800,0.36,45,*GH013855,circumferential_less_than_25%
5,1800,0.36,45,*GH013852,circumferential_between_25_50%
5,1800,0.36,45,*GH013856,circumferential_between_25_50%
5,1800,0.36,45,*GH013854,circumferential_between_50_75%
5,1800,0.36,45,*GH013853,circumferential_more_than_75%
5,1800,0.36,45,*GH013852,open_crack
5,1800,0.36,45,*GH013853,open_crack
5,1800,0.36,45,*GH013854,open_crack
5,1800,0.22,60,*GH013857,longitudinal_more_than_75%
5,1800,0.22,60,*GH013858,longitudinal_more_than_75%
5,1800,0.22,60,*GH013859,longitudinal_more_than_75%
5,1800,0.22,60,*GH013860,longitudinal_more_than_75%
5,1800,0.22,60,*GH013861,longitudinal_more_than_75%
5,1800,0.22,60,*GH013862,longitudinal_more_than_75%
5,1800,0.22,60,*GH013857,circumferential_between_50_75%
5,1800,0.22,60,*GH013861,circumferential_between_50_75%
5,1800,0.22,60,*GH013858,circumferential_more_than_75%
5,1800,0.22,60,*GH013859,circumferential_more_than_75%
5,1800,0.22,60,*GH013860,circumferential_more_than_75%
5,1800,0.22,60,*GH013862,circumferential_more_than_75%
5,1800,0.22,60,*GH013857,open_crack
5,1800,0.22,60,*GH013858,open_crack
5,1800,0.22,60,*GH013859,open_crack
5,1800,0.22,60,*GH013860,open_crack
5,1800,0.22,60,*GH013861,open_crack
5,1800,0.22,60,*GH013862,open_crack
5,1800,0.22,30,*GH013863,longitudinal_more_than_75%
5,1800,0.22,30,*GH013864,longitudinal_more_than_75%
5,1800,0.22,30,*GH013865,longitudinal_more_than_75%
5,1800,0.22,30,*GH013866,longitudinal_more_than_75%
5,1800,0.22,30,*GH013867,longitudinal_more_than_75%
5,1800,0.22,30,*GH013868,longitudinal_more_than_75%
5,1800,0.22,30,*GH013866,circumferential_between_50_75%
5,1800,0.22,30,*GH013867,circumferential_between_50_75%
5,1800,0.22,30,*GH013863,circumferential_more_than_75%
5,1800,0.22,30,*GH013864,circumferential_more_than_75%
5,1800,0.22,30,*GH013865,circumferential_more_than_75%
5,1800,0.22,30,*GH013868,circumferential_more_than_75%
5,1800,0.22,30,*GH013863,open_crack
5,1800,0.22,30,*GH013864,open_crack
5,1800,0.22,30,*GH013865,open_crack
5,1800,0.22,30,*GH013866,open_crack
5,1800,0.22,30,*GH013867,open_crack
5,1800,0.22,30,*GH013868,open_crack
5,1800,0.29,60,*GH013869,longitudinal_more_than_75%
5,1800,0.29,60,*GH013870,longitudinal_more_than_75%
5,1800,0.29,60,*GH013871,longitudinal_more_than_75%
5,1800,0.29,60,*GH013872,longitudinal_more_than_75%
5,1800,0.29,60,*GH013873,longitudinal_more_than_75%
5,1800,0.29,60,*GH013874,longitudinal_more_than_75%
5,1800,0.29,60,*GH013870,circumferential_between_25_50%
5,1800,0.29,60,*GH013873,circumferential_between_25_50%
5,1800,0.29,60,*GH013871,circumferential_between_50_75%
5,1800,0.29,60,*GH013872,circumferential_between_50_75%
5,1800,0.29,60,*GH013869,circumferential_more_than_75%
5,1800,0.29,60,*GH013874,circumferential_more_than_75%
5,1800,0.29,60,*GH013869,open_crack
5,1800,0.29,60,*GH013870,open_crack
5,1800,0.29,60,*GH013871,open_crack
5,1800,0.29,60,*GH013873,open_crack
5,1800,0.29,60,*GH013874,open_crack
5,1800,0.29,45,*GH013875,longitudinal_more_than_75%
5,1800,0.29,45,*GH013876,longitudinal_more_than_75%
5,1800,0.29,45,*GH013877,longitudinal_more_than_75%
5,1800,0.29,45,*GH013878,longitudinal_more_than_75%
5,1800,0.29,45,*GH013879,longitudinal_more_than_75%
5,1800,0.29,45,*GH013880,longitudinal_more_than_75%
5,1800,0.29,45,*GH013879,circumferential_less_than_25%
5,1800,0.29,45,*GH013875,circumferential_between_50_75%
5,1800,0.29,45,*GH013876,circumferential_more_than_75%
5,1800,0.29,45,*GH013877,circumferential_more_than_75%
5,1800,0.29,45,*GH013878,circumferential_more_than_75%
5,1800,0.29,45,*GH013880,circumferential_more_than_75%
5,1800,0.29,45,*GH013875,open_crack
5,1800,0.29,45,*GH013876,open_crack
5,1800,0.29,45,*GH013877,open_crack
5,1800,0.29,45,*GH013878,open_crack
5,1800,0.29,45,*GH013880,open_crack
5,1800,0.36,45,*GH013881,longitudinal_between_50_75%
5,1800,0.36,45,*GH013882,longitudinal_between_50_75%
5,1800,0.36,45,*GH013883,longitudinal_between_50_75%
5,1800,0.36,45,*GH013884,longitudinal_more_than_75%
5,1800,0.36,45,*GH013885,longitudinal_more_than_75%
5,1800,0.36,45,*GH013886,longitudinal_more_than_75%
5,1800,0.36,45,*GH013881,circumferential_less_than_25%
5,1800,0.36,45,*GH013882,circumferential_less_than_25%
5,1800,0.36,45,*GH013883,circumferential_less_than_25%
5,1800,0.36,45,*GH013884,circumferential_less_than_25%
5,1800,0.36,45,*GH013885,circumferential_more_than_75%
5,1800,0.36,45,*GH013886,circumferential_more_than_75%
5,1800,0.36,45,*GH013883,open_crack
5,1800,0.36,45,*GH013885,open_crack
5,1800,0.36,45,*GH013886,crushed
5,1800,0.29,30,*GH013887,longitudinal_more_than_75%
5,1800,0.29,30,*GH013888,longitudinal_more_than_75%
5,1800,0.29,30,*GH013889,longitudinal_more_than_75%
5,1800,0.29,30,*GH013890,longitudinal_more_than_75%
5,1800,0.29,30,*GH013891,longitudinal_more_than_75%
5,1800,0.29,30,*GH013892,longitudinal_more_than_75%
5,1800,0.29,30,*GH013890,circumferential_less_than_25%
5,1800,0.29,30,*GH013889,circumferential_between_50_75%
5,1800,0.29,30,*GH013892,circumferential_between_50_75%
5,1800,0.29,30,*GH013887,circumferential_more_than_75%
5,1800,0.29,30,*GH013888,circumferential_more_than_75%
5,1800,0.29,30,*GH013891,circumferential_more_than_75%
5,1800,0.29,30,*GH013887,open_crack
5,1800,0.29,30,*GH013888,open_crack
5,1800,0.29,30,*GH013889,open_crack
5,1800,0.29,30,*GH013890,open_crack
5,1800,0.29,30,*GH013891,open_crack
5,1800,0.29,30,*GH013891,crushed
5,1800,0.22,45,*GH013893,untouched
5,1800,0.22,45,*GH013896,untouched
5,1800,0.22,45,*GH013894,longitudinal_more_than_75%
5,1800,0.22,45,*GH013895,longitudinal_more_than_75%
5,1800,0.22,45,*GH013897,longitudinal_more_than_75%
5,1800,0.22,45,*GH013898,longitudinal_more_than_75%
5,1800,0.22,45,*GH013894,circumferential_less_than_25%
5,1800,0.22,45,*GH013895,circumferential_less_than_25%
5,1800,0.22,45,*GH013897,circumferential_between_25_50%
5,1800,0.22,45,*GH013898,circumferential_more_than_75%
5,1800,0.22,45,*GH013897,open_crack
5,1800,0.22,45,*GH013898,open_crack
5,1800,0.22,45,*GH013898,crushed
5,1800,0.36,30,*GH013899,untouched
5,1800,0.36,30,*GH013902,untouched
5,1800,0.36,30,*GH013903,untouched
5,1800,0.36,30,*GH013904,untouched
5,1800,0.36,30,*GH013901,longitudinal_less_than_25%
5,1800,0.36,30,*GH013900,longitudinal_more_than_75%
5,1800,0.36,30,*GH013901,circumferential_less_than_25%
5,1800,0.36,30,*GH013900,circumferential_more_than_75%
5,1800,0.36,30,*GH013900,open_crack
5,1800,0.22,60,*GH013905,longitudinal_more_than_75%
5,1800,0.22,60,*GH013906,longitudinal_more_than_75%
5,1800,0.22,60,*GH013907,longitudinal_more_than_75%
5,1800,0.22,60,*GH013908,longitudinal_more_than_75%
5,1800,0.22,60,*GH013909,longitudinal_more_than_75%
5,1800,0.22,60,*GH013910,longitudinal_more_than_75%
5,1800,0.22,60,*GH013906,circumferential_between_25_50%
5,1800,0.22,60,*GH013908,circumferential_between_50_75%
5,1800,0.22,60,*GH013905,circumferential_more_than_75%
5,1800,0.22,60,*GH013907,circumferential_more_than_75%
5,1800,0.22,60,*GH013909,circumferential_more_than_75%
5,1800,0.22,60,*GH013910,circumferential_more_than_75%
5,1800,0.22,60,*GH013905,open_crack
5,1800,0.22,60,*GH013906,open_crack
5,1800,0.22,60,*GH013907,open_crack
5,1800,0.22,60,*GH013908,open_crack
5,1800,0.22,60,*GH013909,open_crack
5,1800,0.22,60,*GH013910,open_crack
5,1800,0.36,60,*GH013915,untouched
5,1800,0.36,60,*GH013916,untouched
5,1800,0.36,60,*GH013912,longitudinal_between_50_75%
5,1800,0.36,60,*GH013913,longitudinal_between_50_75%
5,1800,0.36,60,*GH013911,longitudinal_more_than_75%
5,1800,0.36,60,*GH013914,longitudinal_more_than_75%
5,1800,0.36,60,*GH013911,circumferential_less_than_25%
5,1800,0.36,60,*GH013912,circumferential_less_than_25%
5,1800,0.36,60,*GH013913,circumferential_less_than_25%
5,1800,0.36,60,*GH013914,circumferential_between_50_75%
5,1800,0.36,60,*GH013914,open_crack
5,1800,0.22,60,*GH013917,longitudinal_more_than_75%
5,1800,0.22,60,*GH013918,longitudinal_more_than_75%
5,1800,0.22,60,*GH013919,longitudinal_more_than_75%
5,1800,0.22,60,*GH013920,longitudinal_more_than_75%
5,1800,0.22,60,*GH013921,longitudinal_more_than_75%
5,1800,0.22,60,*GH013922,longitudinal_more_than_75%
5,1800,0.22,60,*GH013918,circumferential_between_50_75%
5,1800,0.22,60,*GH013917,circumferential_more_than_75%
5,1800,0.22,60,*GH013919,circumferential_more_than_75%
5,1800,0.22,60,*GH013920,circumferential_more_than_75%
5,1800,0.22,60,*GH013921,circumferential_more_than_75%
5,1800,0.22,60,*GH013922,circumferential_more_than_75%
5,1800,0.22,60,*GH013917,open_crack
5,1800,0.22,60,*GH013918,open_crack
5,1800,0.22,60,*GH013919,open_crack
5,1800,0.22,60,*GH013920,open_crack
5,1800,0.22,60,*GH013921,open_crack
5,1800,0.22,60,*GH013922,open_crack
5,1800,0.36,30,*GH013927,longitudinal_between_50_75%
5,1800,0.36,30,*GH013923,longitudinal_more_than_75%
5,1800,0.36,30,*GH013924,longitudinal_more_than_75%
5,1800,0.36,30,*GH013925,longitudinal_more_than_75%
5,1800,0.36,30,*GH013926,longitudinal_more_than_75%
5,1800,0.36,30,*GH013928,longitudinal_more_than_75%
5,1800,0.36,30,*GH013927,circumferential_less_than_25%
5,1800,0.36,30,*GH013928,circumferential_less_than_25%
5,1800,0.36,30,*GH013923,circumferential_between_25_50%
5,1800,0.36,30,*GH013924,circumferential_between_25_50%
5,1800,0.36,30,*GH013925,circumferential_between_25_50%
5,1800,0.36,30,*GH013926,circumferential_between_50_75%
5,1800,0.36,30,*GH013923,open_crack
5,1800,0.36,30,*GH013924,open_crack
5,1800,0.36,30,*GH013925,open_crack
5,1800,0.36,30,*GH013926,open_crack
5,1800,0.36,30,*GH013928,open_crack
5,1800,0.29,45,*GH013929,longitudinal_more_than_75%
5,1800,0.29,45,*GH013930,longitudinal_more_than_75%
5,1800,0.29,45,*GH013931,longitudinal_more_than_75%
5,1800,0.29,45,*GH013932,longitudinal_more_than_75%
5,1800,0.29,45,*GH013933,longitudinal_more_than_75%
5,1800,0.29,45,*GH013934,longitudinal_more_than_75%
5,1800,0.29,45,*GH013931,circumferential_between_25_50%
5,1800,0.29,45,*GH013929,circumferential_between_50_75%
5,1800,0.29,45,*GH013930,circumferential_between_50_75%
5,1800,0.29,45,*GH013932,circumferential_between_50_75%
5,1800,0.29,45,*GH013933,circumferential_between_50_75%
5,1800,0.29,45,*GH013934,circumferential_more_than_75%
5,1800,0.29,45,*GH013929,open_crack
5,1800,0.29,45,*GH013930,open_crack
5,1800,0.29,45,*GH013931,open_crack
5,1800,0.29,45,*GH013932,open_crack
5,1800,0.29,45,*GH013933,open_crack
5,1800,0.29,45,*GH013934,open_crack
5,1800,0.29,45,*GH013934,crushed
5,1800,0.29,30,*GH013940,longitudinal_between_50_75%
5,1800,0.29,30,*GH013935,longitudinal_more_than_75%
5,1800,0.29,30,*GH013936,longitudinal_more_than_75%
5,1800,0.29,30,*GH013937,longitudinal_more_than_75%
5,1800,0.29,30,*GH013938,longitudinal_more_than_75%
5,1800,0.29,30,*GH013939,longitudinal_more_than_75%
5,1800,0.29,30,*GH013936,circumferential_between_25_50%
5,1800,0.29,30,*GH013938,circumferential_between_25_50%
5,1800,0.29,30,*GH013940,circumferential_between_25_50%
5,1800,0.29,30,*GH013937,circumferential_between_50_75%
5,1800,0.29,30,*GH013939,circumferential_between_50_75%
5,1800,0.29,30,*GH013935,circumferential_more_than_75%
5,1800,0.29,30,*GH013935,open_crack
5,1800,0.29,30,*GH013936,open_crack
5,1800,0.29,30,*GH013937,open_crack
5,1800,0.29,30,*GH013938,open_crack
5,1800,0.29,30,*GH013939,open_crack
5,1800,0.29,30,*GH013940,open_crack
5,1800,0.36,60,*GH013946,untouched
5,1800,0.36,60,*GH013941,longitudinal_more_than_75%
5,1800,0.36,60,*GH013942,longitudinal_more_than_75%
5,1800,0.36,60,*GH013943,longitudinal_more_than_75%
5,1800,0.36,60,*GH013944,longitudinal_more_than_75%
5,1800,0.36,60,*GH013945,longitudinal_more_than_75%
5,1800,0.36,60,*GH013942,circumferential_between_25_50%
5,1800,0.36,60,*GH013944,circumferential_between_25_50%
5,1800,0.36,60,*GH013945,circumferential_between_25_50%
5,1800,0.36,60,*GH013941,circumferential_more_than_75%
5,1800,0.36,60,*GH013943,circumferential_more_than_75%
5,1800,0.36,60,*GH013941,open_crack
5,1800,0.36,60,*GH013942,open_crack
5,1800,0.36,60,*GH013943,open_crack
5,1800,0.36,60,*GH013944,open_crack
5,1800,0.36,60,*GH013945,open_crack
5,1800,0.36,60,*GH013941,crushed
5,1800,0.36,60,*GH013943,crushed
5,1800,0.22,30,*GH013947,longitudinal_more_than_75%
5,1800,0.22,30,*GH013948,longitudinal_more_than_75%
5,1800,0.22,30,*GH013949,longitudinal_more_than_75%
5,1800,0.22,30,*GH013950,longitudinal_more_than_75%
5,1800,0.22,30,*GH013951,longitudinal_more_than_75%
5,1800,0.22,30,*GH013952,longitudinal_more_than_75%
5,1800,0.22,30,*GH013947,circumferential_more_than_75%
5,1800,0.22,30,*GH013948,circumferential_more_than_75%
5,1800,0.22,30,*GH013949,circumferential_more_than_75%
5,1800,0.22,30,*GH013950,circumferential_more_than_75%
5,1800,0.22,30,*GH013951,circumferential_more_than_75%
5,1800,0.22,30,*GH013952,circumferential_more_than_75%
5,1800,0.22,30,*GH013947,open_crack
5,1800,0.22,30,*GH013948,open_crack
5,1800,0.22,30,*GH013949,open_crack
5,1800,0.22,30,*GH013950,open_crack
5,1800,0.22,30,*GH013951,open_crack
5,1800,0.22,30,*GH013952,open_crack
5,1800,0.29,60,*GH013953,longitudinal_more_than_75%
5,1800,0.29,60,*GH013954,longitudinal_more_than_75%
5,1800,0.29,60,*GH013955,longitudinal_more_than_75%
5,1800,0.29,60,*GH013956,longitudinal_more_than_75%
5,1800,0.29,60,*GH013957,longitudinal_more_than_75%
5,1800,0.29,60,*GH013958,longitudinal_more_than_75%
5,1800,0.29,60,*GH013955,circumferential_between_25_50%
5,1800,0.29,60,*GH013953,circumferential_between_50_75%
5,1800,0.29,60,*GH013956,circumferential_between_50_75%
5,1800,0.29,60,*GH013957,circumferential_between_50_75%
5,1800,0.29,60,*GH013954,circumferential_more_than_75%
5,1800,0.29,60,*GH013958,circumferential_more_than_75%
5,1800,0.29,60,*GH013953,open_crack
5,1800,0.29,60,*GH013954,open_crack
5,1800,0.29,60,*GH013955,open_crack
5,1800,0.29,60,*GH013956,open_crack
5,1800,0.29,60,*GH013957,open_crack
5,1800,0.29,60,*GH013958,open_crack
5,1800,0.22,45,*GH013959,longitudinal_more_than_75%
5,1800,0.22,45,*GH013960,longitudinal_more_than_75%
5,1800,0.22,45,*GH013961,longitudinal_more_than_75%
5,1800,0.22,45,*GH013962,longitudinal_more_than_75%
5,1800,0.22,45,*GH013963,longitudinal_more_than_75%
5,1800,0.22,45,*GH013964,longitudinal_more_than_75%
5,1800,0.22,45,*GH013960,circumferential_between_50_75%
5,1800,0.22,45,*GH013962,circumferential_between_50_75%
5,1800,0.22,45,*GH013959,circumferential_more_than_75%
5,1800,0.22,45,*GH013961,circumferential_more_than_75%
5,1800,0.22,45,*GH013963,circumferential_more_than_75%
5,1800,0.22,45,*GH013964,circumferential_more_than_75%
5,1800,0.22,45,*GH013959,open_crack
5,1800,0.22,45,*GH013960,open_crack
5,1800,0.22,45,*GH013961,open_crack
5,1800,0.22,45,*GH013962,open_crack
5,1800,0.22,45,*GH013963,open_crack
5,1800,0.22,45,*GH013964,open_crack
5,1800,0.22,45,*GH013964,crushed
5,1800,0.36,45,*GH013965,longitudinal_between_50_75%
5,1800,0.36,45,*GH013968,longitudinal_between_50_75%
5,1800,0.36,45,*GH013966,longitudinal_more_than_75%
5,1800,0.36,45,*GH013967,longitudinal_more_than_75%
5,1800,0.36,45,*GH013969,longitudinal_more_than_75%
5,1800,0.36,45,*GH013970,longitudinal_more_than_75%
5,1800,0.36,45,*GH013965,circumferential_less_than_25%
5,1800,0.36,45,*GH013966,circumferential_less_than_25%
5,1800,0.36,45,*GH013967,circumferential_less_than_25%
5,1800,0.36,45,*GH013968,circumferential_less_than_25%
5,1800,0.36,45,*GH013970,circumferential_less_than_25%
5,1800,0.36,45,*GH013969,circumferential_between_25_50%
5,1800,0.36,45,*GH013966,open_crack
5,1800,0.36,45,*GH013967,open_crack
5,1800,0.36,45,*GH013969,open_crack
5,2000,0.29,60,GH013293,longitudinal_more_than_75%
5,2000,0.29,60,GH013294,longitudinal_more_than_75%
5,2000,0.29,60,GH013295,longitudinal_more_than_75%
5,2000,0.29,60,GH013296,longitudinal_more_than_75%
5,2000,0.29,60,GH013297,longitudinal_more_than_75%
5,2000,0.29,60,GH013298,longitudinal_more_than_75%
5,2000,0.29,60,GH013294,circumferential_less_than_25%
5,2000,0.29,60,GH013293,circumferential_between_25_50%
5,2000,0.29,60,GH013296,circumferential_between_25_50%
5,2000,0.29,60,GH013297,circumferential_between_25_50%
5,2000,0.29,60,GH013295,circumferential_between_50_75%
5,2000,0.29,60,GH013298,circumferential_between_50_75%
5,2000,0.29,60,GH013293,open_crack
5,2000,0.29,60,GH013295,open_crack
5,2000,0.29,60,GH013296,open_crack
5,2000,0.29,60,GH013297,open_crack
5,2000,0.29,60,GH013298,open_crack
5,2000,0.22,45,GH013299,longitudinal_more_than_75%
5,2000,0.22,45,GH013300,longitudinal_more_than_75%
5,2000,0.22,45,GH013301,longitudinal_more_than_75%
5,2000,0.22,45,GH013302,longitudinal_more_than_75%
5,2000,0.22,45,GH013303,longitudinal_more_than_75%
5,2000,0.22,45,GH013304,longitudinal_more_than_75%
5,2000,0.22,45,GH013299,circumferential_between_25_50%
5,2000,0.22,45,GH013304,circumferential_between_25_50%
5,2000,0.22,45,GH013300,circumferential_between_50_75%
5,2000,0.22,45,GH013301,circumferential_between_50_75%
5,2000,0.22,45,GH013302,circumferential_between_50_75%
5,2000,0.22,45,GH013303,circumferential_between_50_75%
5,2000,0.22,45,GH013299,open_crack
5,2000,0.22,45,GH013300,open_crack
5,2000,0.22,45,GH013301,open_crack
5,2000,0.22,45,GH013302,open_crack
5,2000,0.22,45,GH013303,open_crack
5,2000,0.22,45,GH013304,open_crack
5,2000,0.36,30,GH013306,untouched
5,2000,0.36,30,GH013309,untouched
5,2000,0.36,30,GH013307,longitudinal_between_50_75%
5,2000,0.36,30,GH013308,longitudinal_between_50_75%
5,2000,0.36,30,GH013305,longitudinal_more_than_75%
5,2000,0.36,30,GH013310,longitudinal_more_than_75%
5,2000,0.36,30,GH013307,circumferential_less_than_25%
5,2000,0.36,30,GH013308,circumferential_less_than_25%
5,2000,0.36,30,GH013310,circumferential_less_than_25%
5,2000,0.36,30,GH013305,circumferential_between_25_50%
5,2000,0.36,30,GH013305,open_crack
5,2000,0.36,30,GH013307,open_crack
5,2000,0.36,30,GH013310,open_crack
5,2000,0.36,60,GH013314,untouched
5,2000,0.36,60,GH013315,untouched
5,2000,0.36,60,GH013316,untouched
5,2000,0.36,60,GH013313,longitudinal_between_50_75%
5,2000,0.36,60,GH013311,longitudinal_more_than_75%
5,2000,0.36,60,GH013312,longitudinal_more_than_75%
5,2000,0.36,60,GH013311,circumferential_less_than_25%
5,2000,0.36,60,GH013312,circumferential_less_than_25%
5,2000,0.36,60,GH013313,circumferential_between_25_50%
5,2000,0.36,60,GH013313,open_crack
5,2000,0.22,30,GH013317,longitudinal_more_than_75%
5,2000,0.22,30,GH013318,longitudinal_more_than_75%
5,2000,0.22,30,GH013319,longitudinal_more_than_75%
5,2000,0.22,30,GH013320,longitudinal_more_than_75%
5,2000,0.22,30,GH013321,longitudinal_more_than_75%
5,2000,0.22,30,GH013322,longitudinal_more_than_75%
5,2000,0.22,30,GH013318,circumferential_between_25_50%
5,2000,0.22,30,GH013322,circumferential_between_25_50%
5,2000,0.22,30,GH013317,circumferential_between_50_75%
5,2000,0.22,30,GH013321,circumferential_between_50_75%
5,2000,0.22,30,GH013319,circumferential_more_than_75%
5,2000,0.22,30,GH013320,circumferential_more_than_75%
5,2000,0.22,30,GH013317,open_crack
